date,artist,total_streams
2017-02-10,The Chainsmokers,2384300
2017-02-10,Drake,2908828
2017-02-10,Post Malone,1387141
2017-02-11,Ed Sheeran,2102929
2017-02-11,Drake,3144167
2017-02-11,The Chainsmokers,2464372
2017-02-11,Post Malone,1379123
2017-02-12,Ed Sheeran,2106203
2017-02-12,Drake,2901881
2017-02-12,The Chainsmokers,2223637
2017-02-12,Post Malone,1283736
2017-02-13,Ed Sheeran,2364707
2017-02-13,The Chainsmokers,2201713
2017-02-13,Drake,2707552
2017-02-13,Post Malone,1385349
2017-02-14,Ed Sheeran,2724733
2017-02-14,The Chainsmokers,2152767
2017-02-14,Drake,2343434
2017-02-14,Post Malone,1431395
2017-02-15,Ed Sheeran,2648833
2017-02-15,The Chainsmokers,2247010
2017-02-15,Drake,2371298
2017-02-15,Post Malone,1449612
2017-02-16,Ed Sheeran,2525283
2017-02-16,The Chainsmokers,2256078
2017-02-16,Drake,2742202
2017-02-16,Post Malone,1507530
2017-02-17,Ed Sheeran,3092045
2017-02-17,The Chainsmokers,2328038
2017-02-17,Drake,2464131
2017-02-17,Post Malone,1559184
2017-02-18,Ed Sheeran,2558509
2017-02-18,Drake,2593624
2017-02-18,The Chainsmokers,2134283
2017-02-18,Post Malone,1450299
2017-02-19,Ed Sheeran,2408618
2017-02-19,Drake,2518353
2017-02-19,The Chainsmokers,1756217
2017-02-19,Post Malone,1355127
2017-02-20,Ed Sheeran,2585890
2017-02-20,The Chainsmokers,1844400
2017-02-20,Drake,2189209
2017-02-20,Post Malone,1448040
2017-02-21,Ed Sheeran,2621319
2017-02-21,The Chainsmokers,1853860
2017-02-21,Post Malone,1521466
2017-02-21,Drake,2165479
2017-02-22,Ed Sheeran,2630650
2017-02-22,The Chainsmokers,2157180
2017-02-22,Post Malone,1594353
2017-02-22,Drake,2263611
2017-02-23,Ed Sheeran,2642698
2017-02-23,The Chainsmokers,3436919
2017-02-23,Post Malone,1622516
2017-02-23,Drake,2275633
2017-02-24,Ed Sheeran,2730453
