date,streams,position,mean_streams,max_position
2017-07-08,290654,77,290654,77
2017-07-09,281803,70,281803,70
2017-07-10,285170,79,285170,79
2017-07-11,296214,79,296214,79
2017-07-12,288628,77,288628,77
2017-07-13,305301,75,305301,75
2017-07-14,305457,83,305457,83
2017-07-15,289679,79,289679,79
2017-07-16,277525,71,277525,71
2017-07-17,277678,80,277678,80
2017-07-18,284913,81,284913,81
2017-07-19,270947,83,270947,83
2017-07-20,276233,84,276233,84
2017-07-21,274214,124,274214,124
2017-07-22,268896,94,268896,94
2017-07-23,263138,80,263138,80
2017-07-24,266143,90,266143,90
2017-07-25,277578,90,277578,90
2017-07-26,266193,92,266193,92
2017-07-27,275385,85,275385,85
2017-07-28,272686,90,272686,90
2017-07-29,260770,85,260770,85
2017-07-30,251274,79,251274,79
2017-07-31,253182,91,253182,91
2017-08-01,263983,85,263983,85
2017-08-02,252780,90,252780,90
2017-08-03,268822,84,268822,84
2017-08-04,267335,89,267335,89
2017-08-05,247942,93,247942,93
2017-08-06,239171,85,239171,85
2017-08-07,236044,96,236044,96
2017-08-08,243879,95,243879,95
2017-08-09,242162,98,242162,98
2017-08-10,253736,93,253736,93
2017-08-11,247323,110,247323,110
2017-08-12,238721,97,238721,97
2017-08-13,236582,87,236582,87
2017-08-14,228615,100,228615,100
2017-08-15,238663,102,238663,102
2017-08-16,233534,104,233534,104
2017-08-17,243704,98,243704,98
2017-08-18,250344,105,250344,105
2017-08-19,245068,101,245068,101
2017-08-20,238173,91,238173,91
2017-08-21,225171,108,225171,108
2017-08-22,237344,105,237344,105
2017-08-23,230508,111,230508,111
2017-08-24,247535,98,247535,98
2017-08-25,905112,13,597930,103
2017-08-25,868118,17,597930,103
2017-08-25,739213,28,597930,103
2017-08-25,664009,37,597930,103
2017-08-25,643291,38,597930,103
2017-08-25,584202,48,597930,103
2017-08-25,571560,50,597930,103
2017-08-25,495131,66,597930,103
2017-08-25,492113,67,597930,103
2017-08-25,485985,71,597930,103
2017-08-25,410553,80,597930,103
2017-08-25,315877,103,597930,103
2017-08-26,1039868,6,614162,92
2017-08-26,873565,12,614162,92
2017-08-26,807569,16,614162,92
2017-08-26,713119,24,614162,92
2017-08-26,645002,30,614162,92
2017-08-26,599791,35,614162,92
2017-08-26,598155,36,614162,92
2017-08-26,492713,56,614162,92
2017-08-26,486744,58,614162,92
2017-08-26,400401,75,614162,92
2017-08-26,391962,78,614162,92
2017-08-26,321054,92,614162,92
2017-08-27,977625,4,510084,94
2017-08-27,747774,11,510084,94
2017-08-27,698081,16,510084,94
2017-08-27,592729,24,510084,94
2017-08-27,519123,33,510084,94
2017-08-27,490819,38,510084,94
2017-08-27,483473,39,510084,94
2017-08-27,383307,62,510084,94
2017-08-27,377140,65,510084,94
2017-08-27,307443,79,510084,94
2017-08-27,281163,88,510084,94
2017-08-27,262327,94,510084,94
2017-08-28,1187337,3,582858,105
2017-08-28,933974,10,582858,105
2017-08-28,807567,15,582858,105
2017-08-28,673947,23,582858,105
2017-08-28,580482,31,582858,105
2017-08-28,553904,36,582858,105
2017-08-28,537539,38,582858,105
2017-08-28,422607,56,582858,105
2017-08-28,411859,62,582858,105
2017-08-28,334776,81,582858,105
2017-08-28,277225,99,582858,105
2017-08-28,273083,105,582858,105
2017-08-29,1247731,4,579267,121
2017-08-29,1027996,7,579267,121
2017-08-29,787855,16,579267,121
2017-08-29,655691,25,579267,121
2017-08-29,553209,36,579267,121
2017-08-29,530683,38,579267,121
2017-08-29,511110,49,579267,121
2017-08-29,396530,62,579267,121
2017-08-29,385125,66,579267,121
2017-08-29,311617,89,579267,121
2017-08-29,293239,96,579267,121
2017-08-29,250416,121,579267,121
2017-08-30,1227337,5,550331,152
2017-08-30,1018940,7,550331,152
2017-08-30,755365,18,550331,152
2017-08-30,608562,29,550331,152
2017-08-30,511888,49,550331,152
2017-08-30,495895,50,550331,152
2017-08-30,471869,53,550331,152
2017-08-30,361432,71,550331,152
2017-08-30,349172,73,550331,152
2017-08-30,298365,93,550331,152
2017-08-30,284079,101,550331,152
2017-08-30,221065,152,550331,152
2017-08-31,1170811,5,514899,177
2017-08-31,986645,9,514899,177
2017-08-31,712000,20,514899,177
2017-08-31,557408,34,514899,177
2017-08-31,465535,51,514899,177
2017-08-31,456278,53,514899,177
2017-08-31,418324,60,514899,177
2017-08-31,328456,79,514899,177
2017-08-31,318035,86,514899,177
2017-08-31,313097,89,514899,177
2017-08-31,255699,126,514899,177
2017-08-31,196505,177,514899,177
2017-09-01,1105110,6,504727,155
2017-09-01,961494,10,504727,155
2017-09-01,663830,26,504727,155
2017-09-01,507384,49,504727,155
2017-09-01,408377,61,504727,155
2017-09-01,403036,62,504727,155
2017-09-01,366243,71,504727,155
2017-09-01,328891,82,504727,155
2017-09-01,296324,99,504727,155
2017-09-01,281785,108,504727,155
2017-09-01,229521,155,504727,155
2017-09-02,939831,8,421825,176
2017-09-02,823613,12,421825,176
2017-09-02,543469,34,421825,176
2017-09-02,419407,54,421825,176
2017-09-02,329107,68,421825,176
2017-09-02,322402,71,421825,176
2017-09-02,309839,75,421825,176
2017-09-02,296943,82,421825,176
2017-09-02,240664,119,421825,176
2017-09-02,228777,130,421825,176
2017-09-02,186020,176,421825,176
2017-09-03,874568,9,386593,179
2017-09-03,756219,13,386593,179
2017-09-03,498538,36,386593,179
2017-09-03,369471,57,386593,179
2017-09-03,302362,70,386593,179
2017-09-03,293238,74,386593,179
2017-09-03,292810,75,386593,179
2017-09-03,270408,86,386593,179
2017-09-03,218944,120,386593,179
2017-09-03,207200,136,386593,179
2017-09-03,168767,179,386593,179
2017-09-04,905230,9,394288,181
2017-09-04,781707,13,394288,181
2017-09-04,522720,36,394288,181
2017-09-04,366552,60,394288,181
2017-09-04,307637,71,394288,181
2017-09-04,297256,73,394288,181
2017-09-04,282599,81,394288,181
2017-09-04,273261,88,394288,181
2017-09-04,221477,127,394288,181
2017-09-04,207973,139,394288,181
2017-09-04,170757,181,394288,181
2017-09-05,1006467,7,432347,178
2017-09-05,866085,12,432347,178
2017-09-05,582748,30,432347,178
2017-09-05,400971,54,432347,178
2017-09-05,339702,68,432347,178
2017-09-05,329270,70,432347,178
2017-09-05,300778,79,432347,178
2017-09-05,273026,92,432347,178
2017-09-05,243632,109,432347,178
2017-09-05,227961,128,432347,178
2017-09-05,185182,178,432347,178
2017-09-06,1048994,7,434983,178
2017-09-06,874252,12,434983,178
2017-09-06,581866,30,434983,178
2017-09-06,403099,54,434983,178
2017-09-06,332814,68,434983,178
2017-09-06,327179,70,434983,178
2017-09-06,295535,84,434983,178
2017-09-06,274033,93,434983,178
2017-09-06,240133,118,434983,178
2017-09-06,224319,136,434983,178
2017-09-06,182590,178,434983,178
2017-09-07,1082441,7,455466,151
2017-09-07,865337,12,455466,151
2017-09-07,567956,34,455466,151
2017-09-07,390862,57,455466,151
2017-09-07,316982,73,455466,151
2017-09-07,313722,75,455466,151
2017-09-07,293115,86,455466,151
2017-09-07,281435,93,455466,151
2017-09-07,229215,134,455466,151
2017-09-07,213590,151,455466,151
2017-09-08,1088732,8,443376,184
2017-09-08,854947,14,443376,184
2017-09-08,547823,39,443376,184
2017-09-08,371949,66,443376,184
2017-09-08,298492,92,443376,184
2017-09-08,297525,93,443376,184
2017-09-08,295409,94,443376,184
2017-09-08,266043,110,443376,184
2017-09-08,214147,163,443376,184
2017-09-08,198698,184,443376,184
2017-09-09,987815,7,415282,176
2017-09-09,764886,14,415282,176
2017-09-09,470032,47,415282,176
2017-09-09,317945,68,415282,176
2017-09-09,290351,85,415282,176
2017-09-09,253283,100,415282,176
2017-09-09,249449,105,415282,176
2017-09-09,223735,127,415282,176
2017-09-09,180046,176,415282,176
2017-09-10,930384,7,363543,188
2017-09-10,693664,14,363543,188
2017-09-10,438679,42,363543,188
2017-09-10,293260,67,363543,188
2017-09-10,274036,74,363543,188
2017-09-10,239617,90,363543,188
2017-09-10,233616,96,363543,188
2017-09-10,208550,124,363543,188
2017-09-10,168561,166,363543,188
2017-09-10,155067,188,363543,188
2017-09-11,1050740,5,405676,176
2017-09-11,785196,13,405676,176
2017-09-11,496815,38,405676,176
2017-09-11,326514,64,405676,176
2017-09-11,272354,87,405676,176
2017-09-11,265078,91,405676,176
2017-09-11,259401,94,405676,176
2017-09-11,236159,112,405676,176
2017-09-11,190373,159,405676,176
2017-09-11,174127,176,405676,176
2017-09-12,1082796,5,413695,198
2017-09-12,815220,13,413695,198
2017-09-12,503660,41,413695,198
2017-09-12,327881,68,413695,198
2017-09-12,277623,89,413695,198
2017-09-12,272426,93,413695,198
2017-09-12,262742,99,413695,198
2017-09-12,233725,124,413695,198
2017-09-12,188690,171,413695,198
2017-09-12,172186,198,413695,198
2017-09-13,1074174,5,441907,179
2017-09-13,828624,12,441907,179
2017-09-13,507226,42,441907,179
2017-09-13,328421,71,441907,179
2017-09-13,287947,90,441907,179
2017-09-13,270264,98,441907,179
2017-09-13,261010,108,441907,179
2017-09-13,232002,134,441907,179
2017-09-13,187491,179,441907,179
2017-09-14,1019327,8,437065,195
2017-09-14,833025,13,437065,195
2017-09-14,505901,44,437065,195
2017-09-14,325946,75,437065,195
2017-09-14,310131,81,437065,195
2017-09-14,267228,106,437065,195
2017-09-14,258073,119,437065,195
2017-09-14,229266,139,437065,195
2017-09-14,184684,195,437065,195
2017-09-15,963749,10,442393,169
2017-09-15,797169,17,442393,169
2017-09-15,474461,55,442393,169
2017-09-15,310092,87,442393,169
2017-09-15,301611,91,442393,169
2017-09-15,246118,135,442393,169
2017-09-15,236796,139,442393,169
2017-09-15,209145,169,442393,169
2017-09-16,853011,12,387069,187
2017-09-16,702541,20,387069,187
2017-09-16,397472,58,387069,187
2017-09-16,295189,85,387069,187
2017-09-16,260685,102,387069,187
2017-09-16,210692,149,387069,187
2017-09-16,200306,159,387069,187
2017-09-16,176658,187,387069,187
2017-09-17,803896,10,358335,174
2017-09-17,620734,20,358335,174
2017-09-17,364397,57,358335,174
2017-09-17,274898,81,358335,174
2017-09-17,244944,96,358335,174
2017-09-17,202739,132,358335,174
2017-09-17,189664,149,358335,174
2017-09-17,165409,174,358335,174
2017-09-18,931956,8,411712,167
2017-09-18,715677,17,411712,167
2017-09-18,428823,53,411712,167
2017-09-18,284953,91,411712,167
2017-09-18,270018,99,411712,167
2017-09-18,242060,118,411712,167
2017-09-18,225492,135,411712,167
2017-09-18,194719,167,411712,167
2017-09-19,938781,8,414660,180
2017-09-19,729414,18,414660,180
2017-09-19,425696,56,414660,180
2017-09-19,284601,95,414660,180
2017-09-19,284045,96,414660,180
2017-09-19,241071,124,414660,180
2017-09-19,221924,149,414660,180
2017-09-19,191750,180,414660,180
2017-09-20,939787,8,410423,194
2017-09-20,729035,18,410423,194
2017-09-20,415503,58,410423,194
2017-09-20,283404,96,410423,194
2017-09-20,279176,100,410423,194
2017-09-20,235611,132,410423,194
2017-09-20,215468,154,410423,194
2017-09-20,185403,194,410423,194
2017-09-21,930763,8,438061,159
2017-09-21,716479,19,438061,159
2017-09-21,407407,60,438061,159
2017-09-21,298718,88,438061,159
2017-09-21,273870,104,438061,159
2017-09-21,229361,138,438061,159
2017-09-21,209826,159,438061,159
2017-09-22,893298,11,421423,188
2017-09-22,681563,23,421423,188
2017-09-22,394668,66,421423,188
2017-09-22,303181,94,421423,188
2017-09-22,261602,115,421423,188
2017-09-22,217885,163,421423,188
2017-09-22,197765,188,421423,188
2017-09-23,787191,14,404984,170
2017-09-23,586584,26,404984,170
2017-09-23,348183,68,404984,170
2017-09-23,289844,85,404984,170
2017-09-23,228765,129,404984,170
2017-09-23,189336,170,404984,170
2017-09-24,750452,10,352375,179
2017-09-24,543301,28,352375,179
2017-09-24,335821,60,352375,179
2017-09-24,270955,85,352375,179
2017-09-24,218624,117,352375,179
2017-09-24,182938,156,352375,179
2017-09-24,164537,179,352375,179
2017-09-25,863466,7,402855,164
2017-09-25,630867,21,402855,164
2017-09-25,392002,58,402855,164
2017-09-25,270116,95,402855,164
2017-09-25,253030,104,402855,164
2017-09-25,216830,139,402855,164
2017-09-25,193677,164,402855,164
2017-09-26,870520,8,406113,173
2017-09-26,640180,23,406113,173
2017-09-26,391462,61,406113,173
2017-09-26,281445,92,406113,173
2017-09-26,251092,110,406113,173
2017-09-26,215874,150,406113,173
2017-09-26,192218,173,406113,173
2017-09-27,882579,9,406826,183
2017-09-27,642196,25,406826,183
2017-09-27,388093,66,406826,183
2017-09-27,283482,95,406826,183
2017-09-27,248717,119,406826,183
2017-09-27,213459,154,406826,183
2017-09-27,189259,183,406826,183
2017-09-28,860574,10,402425,194
2017-09-28,633820,25,402425,194
2017-09-28,385849,66,402425,194
2017-09-28,294214,91,402425,194
2017-09-28,246597,121,402425,194
2017-09-28,211270,157,402425,194
2017-09-28,184649,194,402425,194
2017-09-29,849580,12,430921,178
2017-09-29,607949,31,430921,178
2017-09-29,379896,70,430921,178
2017-09-29,299599,96,430921,178
2017-09-29,241322,139,430921,178
2017-09-29,207179,178,430921,178
2017-09-30,751567,13,381300,188
2017-09-30,519487,35,381300,188
2017-09-30,340841,73,381300,188
2017-09-30,282978,90,381300,188
2017-09-30,212534,144,381300,188
2017-09-30,180391,188,381300,188
2017-10-01,700785,11,355693,175
2017-10-01,475526,36,355693,175
2017-10-01,323425,66,355693,175
2017-10-01,259767,90,355693,175
2017-10-01,202180,133,355693,175
2017-10-01,172476,175,355693,175
2017-10-02,796439,11,398362,158
2017-10-02,533616,33,398362,158
2017-10-02,371366,60,398362,158
2017-10-02,259059,102,398362,158
2017-10-02,229118,122,398362,158
2017-10-02,200572,158,398362,158
2017-10-03,818610,10,408454,182
2017-10-03,544631,38,408454,182
2017-10-03,378195,71,408454,182
2017-10-03,272621,117,408454,182
2017-10-03,232107,146,408454,182
2017-10-03,204559,182,408454,182
2017-10-04,836202,9,410796,173
2017-10-04,542074,35,410796,173
2017-10-04,376862,62,410796,173
2017-10-04,274075,107,410796,173
2017-10-04,232667,135,410796,173
2017-10-04,202895,173,410796,173
2017-10-05,835434,9,415546,167
2017-10-05,549271,34,415546,167
2017-10-05,381230,61,415546,167
2017-10-05,286865,96,415546,167
2017-10-05,234506,130,415546,167
2017-10-05,205968,167,415546,167
2017-10-06,827379,11,411316,199
2017-10-06,547462,37,411316,199
2017-10-06,374099,75,411316,199
2017-10-06,293615,107,411316,199
2017-10-06,226541,164,411316,199
2017-10-06,198799,199,411316,199
2017-10-07,735343,13,368899,200
2017-10-07,492950,39,368899,200
2017-10-07,331915,74,368899,200
2017-10-07,277604,98,368899,200
2017-10-07,201973,161,368899,200
2017-10-07,173609,200,368899,200
2017-10-08,688243,11,345379,182
2017-10-08,461104,34,345379,182
2017-10-08,313093,68,345379,182
2017-10-08,253520,92,345379,182
2017-10-08,191471,146,345379,182
2017-10-08,164844,182,345379,182
2017-10-09,771687,11,381522,172
2017-10-09,510834,34,381522,172
2017-10-09,351212,63,381522,172
2017-10-09,255753,101,381522,172
2017-10-09,213837,139,381522,172
2017-10-09,185810,172,381522,172
2017-10-10,767670,11,378219,178
2017-10-10,503655,39,378219,178
2017-10-10,346805,66,378219,178
2017-10-10,256239,103,378219,178
2017-10-10,210927,146,378219,178
2017-10-10,184016,178,378219,178
2017-10-11,761115,11,372250,186
2017-10-11,499812,40,372250,186
2017-10-11,336679,71,372250,186
2017-10-11,252571,106,372250,186
2017-10-11,204902,158,372250,186
2017-10-11,178421,186,372250,186
2017-10-12,777700,11,387794,186
2017-10-12,526001,38,387794,186
2017-10-12,353023,67,387794,186
2017-10-12,268387,100,387794,186
2017-10-12,214131,150,387794,186
2017-10-12,187525,186,387794,186
2017-10-13,776111,12,427630,171
2017-10-13,526636,39,427630,171
2017-10-13,348033,76,427630,171
2017-10-13,276769,108,427630,171
2017-10-13,210602,171,427630,171
2017-10-14,686961,16,378809,176
2017-10-14,466818,40,378809,176
2017-10-14,303263,78,378809,176
2017-10-14,255124,104,378809,176
2017-10-14,181880,176,378809,176
2017-10-15,651747,14,359708,161
2017-10-15,444233,40,359708,161
2017-10-15,291067,75,359708,161
2017-10-15,236372,99,359708,161
2017-10-15,175120,161,359708,161
2017-10-16,761403,11,367942,195
2017-10-16,506007,37,367942,195
2017-10-16,331997,70,367942,195
2017-10-16,239916,109,367942,195
2017-10-16,199077,156,367942,195
2017-10-16,169251,195,367942,195
2017-10-17,759736,13,411453,163
2017-10-17,513424,39,411453,163
2017-10-17,333357,73,411453,163
2017-10-17,251000,108,411453,163
2017-10-17,199747,163,411453,163
2017-10-18,731572,16,402532,170
2017-10-18,510948,40,402532,170
2017-10-18,326122,76,402532,170
2017-10-18,249805,108,402532,170
2017-10-18,194212,170,402532,170
2017-10-19,679328,21,394397,172
2017-10-19,512949,39,394397,172
2017-10-19,324545,75,394397,172
2017-10-19,261527,102,394397,172
2017-10-19,193637,172,394397,172
2017-10-20,660914,25,441188,118
2017-10-20,513618,47,441188,118
2017-10-20,321792,91,441188,118
2017-10-20,268426,118,441188,118
2017-10-21,619135,25,406785,103
2017-10-21,461958,45,406785,103
2017-10-21,287576,90,406785,103
2017-10-21,258472,103,406785,103
2017-10-22,599194,21,342281,191
2017-10-22,437435,42,342281,191
2017-10-22,274350,80,342281,191
2017-10-22,238837,100,342281,191
2017-10-22,161589,191,342281,191
2017-10-23,646853,22,378241,187
2017-10-23,501406,38,378241,187
2017-10-23,316619,77,378241,187
2017-10-23,239556,115,378241,187
2017-10-23,186772,187,378241,187
2017-10-24,636673,24,380606,184
2017-10-24,509467,39,380606,184
2017-10-24,318690,77,380606,184
2017-10-24,250544,114,380606,184
2017-10-24,187657,184,380606,184
2017-10-25,628396,28,377368,186
2017-10-25,507896,40,377368,186
2017-10-25,315305,81,377368,186
2017-10-25,250124,112,377368,186
2017-10-25,185119,186,377368,186
2017-10-26,621947,29,377896,186
2017-10-26,508205,39,377896,186
2017-10-26,316688,79,377896,186
2017-10-26,257619,110,377896,186
2017-10-26,185023,186,377896,186
2017-10-27,617942,31,426745,113
2017-10-27,509828,44,426745,113
2017-10-27,313420,85,426745,113
2017-10-27,265789,113,426745,113
2017-10-28,517484,34,365092,103
2017-10-28,434765,48,365092,103
2017-10-28,262140,96,365092,103
2017-10-28,245981,103,365092,103
2017-10-29,495904,31,347498,99
2017-10-29,411823,45,347498,99
2017-10-29,252428,84,347498,99
2017-10-29,229837,99,347498,99
2017-10-30,578462,28,350450,184
2017-10-30,477449,41,350450,184
2017-10-30,295126,75,350450,184
2017-10-30,227233,116,350450,184
2017-10-30,173982,184,350450,184
2017-10-31,569848,38,391562,138
2017-10-31,474248,54,391562,138
2017-10-31,289531,100,391562,138
2017-10-31,232621,138,391562,138
2017-11-01,542423,38,369759,128
2017-11-01,434838,51,369759,128
2017-11-01,277313,95,369759,128
2017-11-01,224463,128,369759,128
2017-11-02,587418,35,355764,200
2017-11-02,464743,49,355764,200
2017-11-02,303214,91,355764,200
2017-11-02,245675,122,355764,200
2017-11-02,177771,200,355764,200
2017-11-03,592380,35,411402,133
2017-11-03,492117,50,411402,133
2017-11-03,304530,104,411402,133
2017-11-03,256581,133,411402,133
2017-11-04,523128,37,370359,125
2017-11-04,446035,45,370359,125
2017-11-04,269325,105,370359,125
2017-11-04,242947,125,370359,125
2017-11-05,497233,32,350691,118
2017-11-05,421724,45,350691,118
2017-11-05,256700,91,350691,118
2017-11-05,227108,118,350691,118
2017-11-06,562507,32,389168,136
2017-11-06,481604,42,389168,136
2017-11-06,288467,99,389168,136
2017-11-06,224092,136,389168,136
2017-11-07,574926,36,401035,134
2017-11-07,495842,41,401035,134
2017-11-07,296170,96,401035,134
2017-11-07,237203,134,401035,134
2017-11-08,581279,33,406143,130
2017-11-08,502953,40,406143,130
2017-11-08,301359,92,406143,130
2017-11-08,238981,130,406143,130
2017-11-09,578868,33,408438,121
2017-11-09,501592,41,408438,121
2017-11-09,302084,88,408438,121
2017-11-09,251206,121,408438,121
2017-11-10,569333,37,406064,122
2017-11-10,500501,46,406064,122
2017-11-10,294393,100,406064,122
2017-11-10,260028,122,406064,122
2017-11-11,512112,36,369812,114
2017-11-11,455291,44,369812,114
2017-11-11,265063,101,369812,114
2017-11-11,246783,114,369812,114
2017-11-12,475403,34,344519,109
2017-11-12,426638,43,344519,109
2017-11-12,248908,92,344519,109
2017-11-12,227126,109,344519,109
2017-11-13,540918,31,381868,123
2017-11-13,482708,39,381868,123
2017-11-13,282365,89,381868,123
2017-11-13,221482,123,381868,123
2017-11-14,561580,32,396479,118
2017-11-14,496054,39,396479,118
2017-11-14,292038,90,396479,118
2017-11-14,236243,118,396479,118
2017-11-15,574850,31,404354,118
2017-11-15,504644,39,404354,118
2017-11-15,294217,88,404354,118
2017-11-15,243707,118,404354,118
2017-11-16,569656,32,404002,118
2017-11-16,501599,39,404002,118
2017-11-16,295682,84,404002,118
2017-11-16,249069,118,404002,118
2017-11-17,555767,36,400377,124
2017-11-17,500854,42,400377,124
2017-11-17,292859,92,400377,124
2017-11-17,252028,124,400377,124
2017-11-18,505047,36,373352,106
2017-11-18,467253,45,373352,106
2017-11-18,270796,89,373352,106
2017-11-18,250314,106,373352,106
2017-11-19,469459,34,349047,100
2017-11-19,438200,42,349047,100
2017-11-19,256098,85,349047,100
2017-11-19,232431,100,349047,100
2017-11-20,513624,34,377302,115
2017-11-20,481456,40,377302,115
2017-11-20,281110,86,377302,115
2017-11-20,233019,115,377302,115
2017-11-21,526707,38,388306,119
2017-11-21,494443,43,388306,119
2017-11-21,286608,89,388306,119
2017-11-21,245465,119,388306,119
2017-11-22,521552,38,388966,116
2017-11-22,496928,43,388966,116
2017-11-22,282827,95,388966,116
2017-11-22,254555,116,388966,116
2017-11-23,465717,37,350785,104
2017-11-23,445410,45,350785,104
2017-11-23,255827,87,350785,104
2017-11-23,236185,104,350785,104
2017-11-24,425992,39,320182,99
2017-11-24,406761,41,320182,99
2017-11-24,232308,88,320182,99
2017-11-24,215666,99,320182,99
2017-11-25,440453,39,330755,114
2017-11-25,419741,44,330755,114
2017-11-25,243884,89,330755,114
2017-11-25,218942,114,330755,114
2017-11-26,448907,38,334193,125
2017-11-26,420903,44,334193,125
2017-11-26,250643,93,334193,125
2017-11-26,216320,125,334193,125
