mean_streams,date,track_name
558185,2017-11-06,Butterfly Effect
585335,2017-11-07,Butterfly Effect
586537,2017-11-08,Butterfly Effect
588956,2017-11-09,Butterfly Effect
597256,2017-11-10,Butterfly Effect
554961,2017-11-11,Butterfly Effect
509231,2017-11-12,Butterfly Effect
539482,2017-11-13,Butterfly Effect
566501,2017-11-14,Butterfly Effect
570790,2017-11-15,Butterfly Effect
577446,2017-11-16,Butterfly Effect
587072,2017-11-17,Butterfly Effect
554854,2017-11-18,Butterfly Effect
507443,2017-11-19,Butterfly Effect
526373,2017-11-20,Butterfly Effect
563094,2017-11-21,Butterfly Effect
574856,2017-11-22,Butterfly Effect
498412,2017-11-23,Butterfly Effect
453067,2017-11-24,Butterfly Effect
479048,2017-11-25,Butterfly Effect
472243,2017-11-26,Butterfly Effect
501991,2017-11-27,Butterfly Effect
527663,2017-11-28,Butterfly Effect
540818,2017-11-29,Butterfly Effect
550738,2017-11-30,Butterfly Effect
568431,2017-12-01,Butterfly Effect
549399,2017-12-02,Butterfly Effect
496225,2017-12-03,Butterfly Effect
512079,2017-12-04,Butterfly Effect
528682,2017-12-05,Butterfly Effect
527098,2017-12-06,Butterfly Effect
568739,2017-12-07,Butterfly Effect
566261,2017-12-08,Butterfly Effect
518016,2017-12-09,Butterfly Effect
475074,2017-12-10,Butterfly Effect
502663,2017-12-11,Butterfly Effect
521015,2017-12-12,Butterfly Effect
519233,2017-12-13,Butterfly Effect
527551,2017-12-14,Butterfly Effect
520164,2017-12-15,Butterfly Effect
492427,2017-12-16,Butterfly Effect
444302,2017-12-17,Butterfly Effect
469991,2017-12-18,Butterfly Effect
494674,2017-12-19,Butterfly Effect
496990,2017-12-20,Butterfly Effect
502324,2017-12-21,Butterfly Effect
489760,2017-12-22,Butterfly Effect
449877,2017-12-23,Butterfly Effect
411927,2017-12-24,Butterfly Effect
350942,2017-12-25,Butterfly Effect
411911,2017-12-26,Butterfly Effect
471904,2017-12-27,Butterfly Effect
508067,2017-12-28,Butterfly Effect
484969,2017-12-29,Butterfly Effect
480760,2017-12-30,Butterfly Effect
455349,2017-12-31,Butterfly Effect
445853,2018-01-01,Butterfly Effect
442023,2018-01-02,Butterfly Effect
470082,2018-01-03,Butterfly Effect
462603,2018-01-04,Butterfly Effect
484654,2018-01-05,Butterfly Effect
459090,2018-01-06,Butterfly Effect
415905,2018-01-07,Butterfly Effect
454654,2018-01-08,Butterfly Effect
465129,2018-01-09,Butterfly Effect
4244308,2018-08-03,STARGAZING
4129691,2018-08-03,SICKO MODE
3153435,2018-08-03,CAROUSEL
2541949,2018-08-03,R.I.P. SCREW
3134294,2018-08-04,SICKO MODE
2642823,2018-08-04,STARGAZING
1836988,2018-08-04,CAROUSEL
1556564,2018-08-04,R.I.P. SCREW
2508825,2018-08-05,SICKO MODE
2019148,2018-08-05,STARGAZING
1314272,2018-08-05,CAROUSEL
1119992,2018-08-05,R.I.P. SCREW
2582218,2018-08-06,SICKO MODE
1949820,2018-08-06,STARGAZING
1220451,2018-08-06,CAROUSEL
1054948,2018-08-06,R.I.P. SCREW
2498624,2018-08-07,SICKO MODE
1798546,2018-08-07,STARGAZING
1073263,2018-08-07,CAROUSEL
933524,2018-08-07,R.I.P. SCREW
2312931,2018-08-08,SICKO MODE
1679586,2018-08-08,STARGAZING
955173,2018-08-08,CAROUSEL
812327,2018-08-08,R.I.P. SCREW
2170123,2018-08-09,SICKO MODE
1581543,2018-08-09,STARGAZING
860199,2018-08-09,CAROUSEL
721410,2018-08-09,R.I.P. SCREW
2083198,2018-08-10,SICKO MODE
1502699,2018-08-10,STARGAZING
743981,2018-08-10,CAROUSEL
641886,2018-08-10,R.I.P. SCREW
1920740,2018-08-11,SICKO MODE
1317551,2018-08-11,STARGAZING
671520,2018-08-11,CAROUSEL
534262,2018-08-11,R.I.P. SCREW
1700725,2018-08-12,SICKO MODE
1139803,2018-08-12,STARGAZING
571742,2018-08-12,CAROUSEL
453459,2018-08-12,R.I.P. SCREW
1797646,2018-08-13,SICKO MODE
1201605,2018-08-13,STARGAZING
589826,2018-08-13,CAROUSEL
468324,2018-08-13,R.I.P. SCREW
1827242,2018-08-14,SICKO MODE
1167765,2018-08-14,STARGAZING
557814,2018-08-14,CAROUSEL
452287,2018-08-14,R.I.P. SCREW
1823114,2018-08-15,SICKO MODE
1133239,2018-08-15,STARGAZING
532441,2018-08-15,CAROUSEL
437761,2018-08-15,R.I.P. SCREW
1844752,2018-08-16,SICKO MODE
1135329,2018-08-16,STARGAZING
516893,2018-08-16,CAROUSEL
423938,2018-08-16,R.I.P. SCREW
1788657,2018-08-17,SICKO MODE
1108332,2018-08-17,STARGAZING
493885,2018-08-17,CAROUSEL
399086,2018-08-17,R.I.P. SCREW
1650985,2018-08-18,SICKO MODE
1000956,2018-08-18,STARGAZING
435510,2018-08-18,CAROUSEL
351522,2018-08-18,R.I.P. SCREW
1499944,2018-08-19,SICKO MODE
900665,2018-08-19,STARGAZING
386739,2018-08-19,CAROUSEL
312655,2018-08-19,R.I.P. SCREW
1633548,2018-08-20,SICKO MODE
978912,2018-08-20,STARGAZING
419919,2018-08-20,CAROUSEL
348525,2018-08-20,R.I.P. SCREW
1761099,2018-08-21,SICKO MODE
1011556,2018-08-21,STARGAZING
428551,2018-08-21,CAROUSEL
356927,2018-08-21,R.I.P. SCREW
1756460,2018-08-22,SICKO MODE
1007601,2018-08-22,STARGAZING
437742,2018-08-22,CAROUSEL
355508,2018-08-22,R.I.P. SCREW
1752437,2018-08-23,SICKO MODE
991746,2018-08-23,STARGAZING
434224,2018-08-23,CAROUSEL
346104,2018-08-23,R.I.P. SCREW
1820159,2018-08-24,SICKO MODE
989598,2018-08-24,STARGAZING
422525,2018-08-24,CAROUSEL
350238,2018-08-24,R.I.P. SCREW
1693000,2018-08-25,SICKO MODE
856807,2018-08-25,STARGAZING
361946,2018-08-25,CAROUSEL
310596,2018-08-25,R.I.P. SCREW
1568167,2018-08-26,SICKO MODE
763282,2018-08-26,STARGAZING
326770,2018-08-26,CAROUSEL
283884,2018-08-26,R.I.P. SCREW
1686169,2018-08-27,SICKO MODE
826607,2018-08-27,STARGAZING
355017,2018-08-27,CAROUSEL
314083,2018-08-27,R.I.P. SCREW
1751193,2018-08-28,SICKO MODE
825399,2018-08-28,STARGAZING
348538,2018-08-28,CAROUSEL
310553,2018-08-28,R.I.P. SCREW
1719922,2018-08-29,SICKO MODE
829219,2018-08-29,STARGAZING
341598,2018-08-29,CAROUSEL
302159,2018-08-29,R.I.P. SCREW
1733249,2018-08-30,SICKO MODE
823432,2018-08-30,STARGAZING
338309,2018-08-30,CAROUSEL
297598,2018-08-30,R.I.P. SCREW
1770527,2018-08-31,SICKO MODE
821939,2018-08-31,STARGAZING
335183,2018-08-31,CAROUSEL
292896,2018-08-31,R.I.P. SCREW
1589524,2018-09-01,SICKO MODE
719379,2018-09-01,STARGAZING
286654,2018-09-01,CAROUSEL
246326,2018-09-01,R.I.P. SCREW
1405569,2018-09-02,SICKO MODE
631159,2018-09-02,STARGAZING
260330,2018-09-02,CAROUSEL
220812,2018-09-02,R.I.P. SCREW
1411157,2018-09-03,SICKO MODE
693198,2018-09-03,STARGAZING
251350,2018-09-03,CAROUSEL
220321,2018-09-03,R.I.P. SCREW
1607325,2018-09-04,SICKO MODE
781636,2018-09-04,STARGAZING
281124,2018-09-04,CAROUSEL
252707,2018-09-04,R.I.P. SCREW
1632961,2018-09-05,SICKO MODE
817724,2018-09-05,STARGAZING
288318,2018-09-05,CAROUSEL
259001,2018-09-05,R.I.P. SCREW
1619135,2018-09-06,SICKO MODE
818389,2018-09-06,STARGAZING
291474,2018-09-06,CAROUSEL
262204,2018-09-06,R.I.P. SCREW
1633739,2018-09-07,SICKO MODE
788911,2018-09-07,STARGAZING
282226,2018-09-07,CAROUSEL
252248,2018-09-07,R.I.P. SCREW
1487045,2018-09-08,SICKO MODE
690211,2018-09-08,STARGAZING
234898,2018-09-08,CAROUSEL
1291850,2018-09-09,SICKO MODE
605251,2018-09-09,STARGAZING
214435,2018-09-09,CAROUSEL
1434850,2018-09-10,SICKO MODE
679622,2018-09-10,STARGAZING
236864,2018-09-10,CAROUSEL
210707,2018-09-10,R.I.P. SCREW
1477573,2018-09-11,SICKO MODE
715068,2018-09-11,STARGAZING
241419,2018-09-11,CAROUSEL
1519321,2018-09-12,SICKO MODE
758350,2018-09-12,STARGAZING
249116,2018-09-12,CAROUSEL
220021,2018-09-12,R.I.P. SCREW
1538098,2018-09-13,SICKO MODE
754946,2018-09-13,STARGAZING
247714,2018-09-13,CAROUSEL
221072,2018-09-13,R.I.P. SCREW
1595560,2018-09-14,SICKO MODE
767688,2018-09-14,STARGAZING
268831,2018-09-14,CAROUSEL
1471976,2018-09-15,SICKO MODE
716752,2018-09-15,STARGAZING
254784,2018-09-15,CAROUSEL
1281410,2018-09-16,SICKO MODE
623217,2018-09-16,STARGAZING
210483,2018-09-16,CAROUSEL
1434682,2018-09-17,SICKO MODE
675108,2018-09-17,STARGAZING
229670,2018-09-17,CAROUSEL
1464325,2018-09-18,SICKO MODE
672872,2018-09-18,STARGAZING
224351,2018-09-18,CAROUSEL
1479840,2018-09-19,SICKO MODE
682275,2018-09-19,STARGAZING
226286,2018-09-19,CAROUSEL
1504147,2018-09-20,SICKO MODE
682705,2018-09-20,STARGAZING
225796,2018-09-20,CAROUSEL
1551386,2018-09-21,SICKO MODE
716473,2018-09-21,STARGAZING
1455005,2018-09-22,SICKO MODE
666768,2018-09-22,STARGAZING
200059,2018-09-22,CAROUSEL
1273578,2018-09-23,SICKO MODE
591203,2018-09-23,STARGAZING
180752,2018-09-23,CAROUSEL
1385771,2018-09-24,SICKO MODE
626849,2018-09-24,STARGAZING
1392368,2018-09-25,SICKO MODE
629010,2018-09-25,STARGAZING
1421723,2018-09-26,SICKO MODE
644249,2018-09-26,STARGAZING
1417207,2018-09-27,SICKO MODE
637506,2018-09-27,STARGAZING
1381073,2018-09-28,SICKO MODE
594965,2018-09-28,STARGAZING
1381483,2018-09-29,SICKO MODE
536053,2018-09-29,STARGAZING
1242957,2018-09-30,SICKO MODE
474475,2018-09-30,STARGAZING
1353722,2018-10-01,SICKO MODE
529077,2018-10-01,STARGAZING
1410990,2018-10-02,SICKO MODE
568317,2018-10-02,STARGAZING
1442531,2018-10-03,SICKO MODE
583522,2018-10-03,STARGAZING
1474381,2018-10-04,SICKO MODE
593849,2018-10-04,STARGAZING
1516055,2018-10-05,SICKO MODE
538854,2018-10-05,STARGAZING
1400061,2018-10-06,SICKO MODE
453564,2018-10-06,STARGAZING
1230873,2018-10-07,SICKO MODE
398701,2018-10-07,STARGAZING
1318342,2018-10-08,SICKO MODE
443426,2018-10-08,STARGAZING
1367627,2018-10-09,SICKO MODE
474102,2018-10-09,STARGAZING
1347110,2018-10-10,SICKO MODE
481155,2018-10-10,STARGAZING
1352781,2018-10-11,SICKO MODE
496704,2018-10-11,STARGAZING
1340859,2018-10-12,SICKO MODE
481528,2018-10-12,STARGAZING
1233032,2018-10-13,SICKO MODE
425293,2018-10-13,STARGAZING
1153851,2018-10-14,SICKO MODE
388745,2018-10-14,STARGAZING
1270705,2018-10-15,SICKO MODE
428235,2018-10-15,STARGAZING
1281322,2018-10-16,SICKO MODE
449257,2018-10-16,STARGAZING
1302225,2018-10-17,SICKO MODE
485456,2018-10-17,STARGAZING
1303370,2018-10-18,SICKO MODE
471159,2018-10-18,STARGAZING
1435520,2018-10-19,SICKO MODE
445409,2018-10-19,STARGAZING
1452112,2018-10-20,SICKO MODE
408901,2018-10-20,STARGAZING
1327348,2018-10-21,SICKO MODE
371018,2018-10-21,STARGAZING
1425806,2018-10-22,SICKO MODE
412525,2018-10-22,STARGAZING
1457740,2018-10-23,SICKO MODE
424315,2018-10-23,STARGAZING
1444250,2018-10-24,SICKO MODE
421851,2018-10-24,STARGAZING
1480587,2018-10-25,SICKO MODE
433118,2018-10-25,STARGAZING
1591408,2018-10-26,SICKO MODE
435378,2018-10-26,STARGAZING
1541164,2018-10-27,SICKO MODE
393086,2018-10-27,STARGAZING
1386892,2018-10-28,SICKO MODE
356323,2018-10-28,STARGAZING
1412799,2018-10-29,SICKO MODE
393898,2018-10-29,STARGAZING
1474674,2018-10-30,SICKO MODE
416992,2018-10-30,STARGAZING
1572485,2018-10-31,SICKO MODE
419648,2018-10-31,STARGAZING
1509841,2018-11-01,SICKO MODE
409143,2018-11-01,STARGAZING
1498859,2018-11-02,SICKO MODE
395304,2018-11-02,STARGAZING
1468762,2018-11-03,SICKO MODE
367856,2018-11-03,STARGAZING
1286765,2018-11-04,SICKO MODE
328253,2018-11-04,STARGAZING
1350253,2018-11-05,SICKO MODE
362681,2018-11-05,STARGAZING
1404834,2018-11-06,SICKO MODE
381121,2018-11-06,STARGAZING
1402674,2018-11-07,SICKO MODE
385486,2018-11-07,STARGAZING
1411171,2018-11-08,SICKO MODE
389850,2018-11-08,STARGAZING
1508867,2018-11-09,SICKO MODE
391176,2018-11-09,STARGAZING
1499017,2018-11-10,SICKO MODE
355549,2018-11-10,STARGAZING
1326884,2018-11-11,SICKO MODE
321965,2018-11-11,STARGAZING
1370416,2018-11-12,SICKO MODE
337705,2018-11-12,STARGAZING
1491338,2018-11-13,SICKO MODE
362396,2018-11-13,STARGAZING
1497834,2018-11-14,SICKO MODE
368347,2018-11-14,STARGAZING
1456483,2018-11-15,SICKO MODE
359911,2018-11-15,STARGAZING
1555892,2018-11-16,SICKO MODE
380288,2018-11-16,STARGAZING
1564505,2018-11-17,SICKO MODE
364300,2018-11-17,STARGAZING
1382063,2018-11-18,SICKO MODE
328044,2018-11-18,STARGAZING
1486938,2018-11-19,SICKO MODE
363904,2018-11-19,STARGAZING
1629856,2018-11-20,SICKO MODE
382268,2018-11-20,STARGAZING
1668485,2018-11-21,SICKO MODE
386887,2018-11-21,STARGAZING
1446052,2018-11-22,SICKO MODE
325348,2018-11-22,STARGAZING
1286683,2018-11-23,SICKO MODE
302606,2018-11-23,STARGAZING
1369971,2018-11-24,SICKO MODE
325231,2018-11-24,STARGAZING
1341652,2018-11-25,SICKO MODE
323738,2018-11-25,STARGAZING
1403791,2018-11-26,SICKO MODE
347142,2018-11-26,STARGAZING
1478085,2018-11-27,SICKO MODE
362562,2018-11-27,STARGAZING
1397754,2018-11-28,SICKO MODE
348600,2018-11-28,STARGAZING
1447317,2018-11-29,SICKO MODE
363758,2018-11-29,STARGAZING
1515166,2018-11-30,SICKO MODE
365081,2018-11-30,STARGAZING
1400323,2018-12-01,SICKO MODE
334832,2018-12-01,STARGAZING
1238585,2018-12-02,SICKO MODE
306491,2018-12-02,STARGAZING
1320589,2018-12-03,SICKO MODE
341208,2018-12-03,STARGAZING
1435732,2018-12-04,SICKO MODE
362334,2018-12-04,STARGAZING
1413711,2018-12-05,SICKO MODE
357802,2018-12-05,STARGAZING
1404309,2018-12-06,SICKO MODE
373868,2018-12-06,STARGAZING
1460134,2018-12-07,SICKO MODE
378518,2018-12-07,STARGAZING
1410218,2018-12-08,SICKO MODE
345227,2018-12-08,STARGAZING
1220345,2018-12-09,SICKO MODE
306062,2018-12-09,STARGAZING
1282957,2018-12-10,SICKO MODE
335803,2018-12-10,STARGAZING
1381399,2018-12-11,SICKO MODE
351497,2018-12-11,STARGAZING
1403901,2018-12-12,SICKO MODE
355806,2018-12-12,STARGAZING
1429122,2018-12-13,SICKO MODE
358917,2018-12-13,STARGAZING
1530906,2018-12-14,SICKO MODE
362466,2018-12-14,STARGAZING
1512283,2018-12-15,SICKO MODE
342995,2018-12-15,STARGAZING
1328236,2018-12-16,SICKO MODE
310826,2018-12-16,STARGAZING
1392208,2018-12-17,SICKO MODE
338776,2018-12-17,STARGAZING
1448126,2018-12-18,SICKO MODE
360777,2018-12-18,STARGAZING
1449456,2018-12-19,SICKO MODE
358903,2018-12-19,STARGAZING
1466572,2018-12-20,SICKO MODE
366437,2018-12-20,STARGAZING
1487510,2018-12-21,SICKO MODE
358751,2018-12-21,STARGAZING
1448020,2018-12-22,SICKO MODE
332920,2018-12-22,STARGAZING
1300318,2018-12-23,SICKO MODE
299847,2018-12-23,STARGAZING
1266858,2018-12-24,SICKO MODE
1063395,2018-12-25,SICKO MODE
1219304,2018-12-26,SICKO MODE
288000,2018-12-26,STARGAZING
1306793,2018-12-27,SICKO MODE
308801,2018-12-27,STARGAZING
1324180,2018-12-28,SICKO MODE
306235,2018-12-28,STARGAZING
1325501,2018-12-29,SICKO MODE
303623,2018-12-29,STARGAZING
1208471,2018-12-30,SICKO MODE
278391,2018-12-30,STARGAZING
1361991,2018-12-31,SICKO MODE
298104,2018-12-31,STARGAZING
1454622,2019-01-01,SICKO MODE
294829,2019-01-01,STARGAZING
1218189,2019-01-02,SICKO MODE
280148,2019-01-02,STARGAZING
1282074,2019-01-03,SICKO MODE
294914,2019-01-03,STARGAZING
1326208,2019-01-04,SICKO MODE
307410,2019-01-04,STARGAZING
1313400,2019-01-05,SICKO MODE
296874,2019-01-05,STARGAZING
1173730,2019-01-06,SICKO MODE
268443,2019-01-06,STARGAZING
1251789,2019-01-07,SICKO MODE
294717,2019-01-07,STARGAZING
1284234,2019-01-08,SICKO MODE
301904,2019-01-08,STARGAZING
1279949,2019-01-09,SICKO MODE
305599,2019-01-09,STARGAZING
1317550,2019-01-10,SICKO MODE
313064,2019-01-10,STARGAZING
1332243,2019-01-11,SICKO MODE
327011,2019-01-11,STARGAZING
1270038,2019-01-12,SICKO MODE
298021,2019-01-12,STARGAZING
1119186,2019-01-13,SICKO MODE
268297,2019-01-13,STARGAZING
1166921,2019-01-14,SICKO MODE
296375,2019-01-14,STARGAZING
1207055,2019-01-15,SICKO MODE
308989,2019-01-15,STARGAZING
1198318,2019-01-16,SICKO MODE
305614,2019-01-16,STARGAZING
1204567,2019-01-17,SICKO MODE
306872,2019-01-17,STARGAZING
1266695,2019-01-18,SICKO MODE
311350,2019-01-18,STARGAZING
1202478,2019-01-19,SICKO MODE
282899,2019-01-19,STARGAZING
1043993,2019-01-20,SICKO MODE
253557,2019-01-20,STARGAZING
1048430,2019-01-21,SICKO MODE
257529,2019-01-21,STARGAZING
1077704,2019-01-22,SICKO MODE
284051,2019-01-22,STARGAZING
1109830,2019-01-23,SICKO MODE
286677,2019-01-23,STARGAZING
1120710,2019-01-24,SICKO MODE
285756,2019-01-24,STARGAZING
1178285,2019-01-25,SICKO MODE
302327,2019-01-25,STARGAZING
1170540,2019-01-26,SICKO MODE
290009,2019-01-26,STARGAZING
1041108,2019-01-27,SICKO MODE
262154,2019-01-27,STARGAZING
1028375,2019-01-28,SICKO MODE
281153,2019-01-28,STARGAZING
