"","Artist","not","Fri_Sat","ratio"
"447","James Bay",154523,149626,0.968308924884969
"448","VÉRITÉ",187101,181128.5,0.968078738221602
"449","Fall Out Boy",220338,212523,0.964531764834028
"450","Maggie Lindemann",296327,285506.5,0.963484596408697
"451","Dominic Fike",267029,257192,0.963161304577405
"452","Paul McCartney",374118,360011.5,0.962293982112596
"453","OneRepublic",263941,252769.5,0.957674252958047
"454","MØ",251659.5,240426.5,0.955364291830827
"455","The Notorious B.I.G.",200576,191601,0.95525386885769
"456","Sofia Reyes",220477,210099,0.952929330497059
"457","Audioslave",236856,224621,0.948344141588138
"458","Lauren Daigle",238856,223632,0.936262852932311
"459","Burl Ives",407951,378997,0.929025789862018
"460","lovelytheband",222573,206182,0.926356745876634
"461","Dean Lewis",343021,317748,0.926322295136449
"462","Years & Years",244318,226148,0.92562971209653
"463","Bhad Bhabie",211773,195830,0.924716559712522
"464","Nause",162767,150172,0.922619449888491
"465","The Jackson 5",300489.5,276081.5,0.91877253614519
"466","Kiiara",211392,194082,0.91811421435059
"467","Why Don't We",282725.5,258971,0.915980341355838
"468","Chad Focus",186305,169151,0.907925176457959
"469","Kris Kross Amsterdam",294951,267603.5,0.907281209421226
"470","Michael Jackson",297117.5,268178,0.902599140070847
"471","Chucho Flash",232014,208556,0.898894032256674
"472","Michelle Williams",208792.5,186481,0.893140318737503
"473","AC/DC",229043.5,204456,0.892651395913877
"474","Rodney Atkins",225737,200846,0.889734514058395
"475","State of Sound",161321,143211,0.887739351975254
"476","Anderson .Paak",307411,270736,0.880697177394433
"477","Big Shaq",247387,214022,0.865130342338118
"478","Galantis",299976,252820.5,0.842802424193935
"479","Anitta",238667,199605,0.836332630820348
"480","Kehlani",521862.5,430912,0.825719418429184
"481","Meghan Trainor",253219,205911,0.813173577022261
"482","Bass Santana",341751,274574,0.803432908755205
"483","Tom Petty",274788,220288.5,0.801667103366959
"484","Christina Aguilera",352566,261965.5,0.743025419354107
