"","Artist","not","Fri_Sat","ratio"
"247","Lewis Capaldi",244860,256365.5,1.04698807481826
"248","Flipp Dinero",715870,749300,1.04669842289801
"249","Pedro Capó",281285.5,294283,1.04620750091988
"250","R3HAB",197594,206596,1.04555806350395
"251","Kelly Clarkson",336423,351710.5,1.04544130454814
"252","Daddy Yankee",246410,257579,1.04532689420072
"253","Dylan Scott",167540,175096,1.04509967768891
"254","MadeinTYO",189971.5,198526,1.04503043877634
"255","Avicii",276178,288587,1.04493116758033
"256","gnash",192877,201461.5,1.04450763958378
"257","PnB Rock",191825,200347,1.04442590903167
"258","Steve Aoki",304192,317702.5,1.04441438302125
"259","Famous Dex",315316,328424,1.04157099544584
"260","YBN Nahmir",271130,282360,1.04141924538044
"261","Tay-K",245279,255374,1.04115721280664
"262","John Lennon",282302,293771,1.04062670473465
"263","Playboi Carti",295183,307162,1.04058160530925
"264","The Vamps",312738,325307.5,1.04019178993279
"265","Aminé",252108.5,262236,1.04017119613182
"266","Maroon 5",356897,371177.5,1.04001294491128
"267","Liam Payne",267943,278500,1.03940017093188
"268","Lil Skies",276193,286922,1.03884602433805
"269","Blueface",342989,356282,1.03875634495567
"270","Eartha Kitt",279236,289965,1.03842269621396
"271","ZAYN",286767,297781.5,1.03840923118769
"272","Kenny Chesney",213017,221121,1.03804391198824
"273","Jorja Smith",309720,321471.5,1.03794233501227
"274","Cashmere Cat",253476.5,263079,1.03788319627263
"275","Zara Larsson",243643.5,252667,1.03703566891791
"276","*NSYNC",264110,273808,1.0367195486729
"277","SHAED",278776,288985,1.03662079949494
"278","Luke Bryan",217476,225371,1.03630285640714
"279","Charli XCX",228799.5,237032,1.03598128492414
"280","blackbear",254512.5,263499,1.03530867835568
"281","Queen",275609,285132,1.03455257266635
"282","Charlie Puth",302337,312774.5,1.03452273456441
"283","Cash Cash",200511,207428,1.03449686052137
"284","ScHoolboy Q",309845,320384,1.03401378108409
"285","Axwell /\ Ingrosso",291484,301396.5,1.03400701239176
"286","Trey Songz",163685.5,169239.5,1.03393092240913
"287","Jon Pardi",194898,201508.5,1.03391774158791
"288","Camila Cabello",331311,342414.5,1.03351382839688
"289","Jess Glynne",225274,232772.5,1.03328613155535
"290","Sia",239499,247427,1.0331024346657
"291","SOB X RBE",311437,321654.5,1.03280759832647
"292","Bryson Tiller",198056,204525.5,1.0326650038373
"293","Russ",222110,229313,1.03242987708793
"294","Alok",189340,195474,1.03239674659343
"295","Flo Rida",238697,246424,1.03237158405845
"296","Dennis Lloyd",291208,300593,1.03222782341144
"297","Lil Xan",308904.5,318751,1.03187554729698
"298","Chris Young",193394,199374.5,1.03092391697778
"299","Josh Turner",167652,172819,1.03081979338153
"300","Rihanna",211812,218299,1.03062621570072
"301","DJ Khaled",321440,331255,1.03053446988552
"302","Jake Owen",212830,219295,1.03037635671663
"303","Trouble",196987,202927,1.03015427413992
"304","GoldLink",213093,219508,1.030104226793
"305","Chase Rice",209196,215415,1.02972810187575
"306","JP Cooper",257515,265072,1.02934586334777
"307","Glades",203979,209764.5,1.02836321386025
"308","DJ A1",505201,519514,1.02833129783987
"309","Becky G",250028,256747,1.02687299022509
"310","Alesso",291960,299693,1.02648650500069
"311","Shawn Hook",191162,196144,1.02606166497526
"312","Ella Mai",306995,314728,1.02518933533119
"313","The Killers",185768,190433,1.02511196761552
"314","Rich The Kid",334685.5,343089.5,1.02511014071419
"315","Snakehips",292725,299995.5,1.02483730463746
"316","KYLE",336501.5,344803,1.02467002375918
"317","James Arthur",263735,270138,1.02427815799951
"318","Jaden Smith",219651,224896,1.02387878953431
"319","Skrillex",318458,326047,1.02383045801958
"320","Marc E. Bassy",154061,157732,1.02382822388534
"321","Olivia Holt",263889,270021,1.02323704284756
"322","Ayo & Teo",272004.5,278258.5,1.02299226667206
"323","Billy Currington",187300,191600.5,1.0229604911906
"324","Jason Derulo",262910.5,268922.5,1.02286709735823
"325","Hearts & Colors",226217,231299,1.02246515513865
"326","N.E.R.D",226976,232062.5,1.02240985831101
"327","FRENSHIP",159243.5,162795.5,1.02230546301733
"328","Jay Rock",378024,386395,1.02214409667111
"329","Thurl Ravenscroft",245493.5,250913,1.02207594091086
"330","Luke Combs",222779,227665.5,1.02193429362732
"331","6LACK",218284,223035.5,1.021767513881
"332","LANCO",200994,205208.5,1.02096828761058
"333","Calboy",370034,377790,1.02096023608641
"334","Flume",163680,167040,1.02052785923754
"335","Taylor Swift",285359,291186.5,1.02042164431471
"336","NF",248674.5,253601.5,1.01981304878466
