date,streams,position,mean_streams,max_position
2018-11-14,770218,19,334930,187
2018-11-14,278664,124,334930,187
2018-11-14,276432,126,334930,187
2018-11-14,243266,156,334930,187
2018-11-14,221148,185,334930,187
2018-11-14,219852,187,334930,187
2018-11-15,734454,20,361223,185
2018-11-15,247171,147,361223,185
2018-11-15,246058,150,361223,185
2018-11-15,217210,185,361223,185
2018-11-16,732281,23,479661,198
2018-11-16,227041,198,479661,198
2018-11-17,672208,25,672208,25
2018-11-18,613551,24,613551,24
2018-11-19,677024,23,677024,23
2018-11-20,686210,25,686210,25
2018-11-21,677516,26,677516,26
2018-11-22,577564,27,577564,27
2018-11-23,522600,31,522600,31
2018-11-24,532480,34,532480,34
2018-11-25,532254,33,532254,33
2018-11-26,588784,31,588784,31
2018-11-27,595080,31,595080,31
2018-11-28,575833,43,575833,43
2018-11-29,570327,42,570327,42
2018-11-30,566216,56,566216,56
2018-12-01,509614,59,509614,59
2018-12-02,472898,56,472898,56
2018-12-03,514592,50,514592,50
2018-12-04,538493,44,538493,44
2018-12-05,536995,45,536995,45
2018-12-06,536330,46,536330,46
2018-12-07,602066,44,602066,44
2018-12-08,517905,55,517905,55
2018-12-09,467807,56,467807,56
2018-12-10,512013,47,512013,47
2018-12-11,522446,42,522446,42
2018-12-12,504022,49,504022,49
2018-12-13,497651,54,497651,54
2018-12-14,489169,60,489169,60
2018-12-15,437026,68,437026,68
2018-12-16,402060,70,402060,70
2018-12-17,434392,67,434392,67
2018-12-18,432669,71,432669,71
2018-12-19,411041,75,411041,75
2018-12-20,407759,80,407759,80
2018-12-21,399371,112,399371,112
2018-12-22,376930,113,376930,113
2018-12-23,352788,108,352788,108
2018-12-24,350212,153,350212,153
2018-12-25,312215,178,312215,178
2018-12-26,348041,80,348041,80
2018-12-27,354822,78,354822,78
2018-12-28,345895,79,345895,79
2018-12-29,332968,78,332968,78
2018-12-30,319386,77,319386,77
2018-12-31,336094,82,336094,82
2019-01-01,301907,93,301907,93
2019-01-02,326477,81,326477,81
2019-01-03,336147,85,336147,85
2019-01-04,342081,85,342081,85
2019-01-05,325712,81,325712,81
2019-01-06,311923,78,311923,78
2019-01-07,341703,79,341703,79
2019-01-08,345542,83,345542,83
2019-01-09,351898,81,351898,81
2019-01-10,361399,79,361399,79
2019-01-11,368419,88,368419,88
2019-01-12,340479,84,340479,84
2019-01-13,321451,81,321451,81
2019-01-14,346778,83,346778,83
2019-01-15,352762,87,352762,87
2019-01-16,370250,80,370250,80
2019-01-17,370700,82,370700,82
2019-01-18,369082,103,369082,103
2019-01-19,329465,101,329465,101
2019-01-20,304750,88,304750,88
2019-01-21,312962,90,312962,90
2019-01-22,326461,102,326461,102
2019-01-23,366114,94,366114,94
2019-01-24,358067,95,358067,95
2019-01-25,354592,102,354592,102
2019-01-26,327029,102,327029,102
2019-01-27,305709,97,305709,97
2019-01-28,320904,105,320904,105
2019-01-29,324317,105,324317,105
2019-01-30,321302,105,321302,105
2019-01-31,320094,110,320094,110
2019-02-01,416128,75,373198,115
2019-02-01,330268,115,373198,115
2019-02-02,305965,112,279464,151
2019-02-02,252962,151,279464,151
2019-02-03,287532,113,287532,113
